3005-163389-0001  SONG OUT TEAR DOWN THE FENCE TEAR DOWN THE FENCE
3528-168669-0128  MAY TASTE TO IMMARISE AN EXPEDIENT TO MAKE HER FORGET THE OATH
4350-9170-0024  ACROSSES KNOW THAT AN ARMY FORTY THOUSAND WOULD SOON BE INSUFFICIENT AND NO LONGER BELONG AN INCOTT'S MEN THEY FEEL THAT THE SECURITY OF THEIR POSITION DEPENDS ON THE INCREASED STRENGTH OF THE ARMY
3528-168669-0091  PERSECUTE THE SAINTS
8461-281231-0001  IT WASN'T THAT JANE INTO THAT TOWN THAT THEY WERE OVERTAKEN IN THE ROAD BY SAD RANK AND HIS PARTY IN WHOSE COMPANY THEY WERE AFTERWARDS COUNTED CAPS AFTER THE CASTLE OF TALK AND STONE
5484-24317-0010  AND HERMON ANSWERED THE RESIDENCE OF THE GRAMMATIUS IN THE PALACE THEY GUESS HAD ALREADY ASSEMBLED
3764-168670-0040  RECORD AND CROPPED HIS FINGER JOINTS BUT THAT IS IMPOSSIBLE
5484-24318-0004  HE NOT TO GREET HIS SUDDEN END AS A BOOK FROM THE IMMORTALS
7975-280076-0026  I SLAY THERE UNTIL THE EIGHTH OF FEBRUARY EIGHTEEN SEVENTY FOUR
6432-63723-0031  ONE DO YOU KNOW AFTER THAT STORY CAME OUT FOR ME IN THE VICE CHANCELLOR WHO SAT IN A CASE AS WELL AS OTHER JUDGES AND MEMBERS OF THE BAR TO BE SEEN THERE CANNOT EXPLAIN TO THE COLONEL
4852-28312-0008  SAW A WORSE CAME BACK TO
3528-168669-0114  IT AS SPEEDILY AS POSSIBLE
3005-163399-0016  TO BEGIN BUT SHE GRABBED ME AND HUSTLED ME IN BEHIND THE BED AND SAYS HERE IT COMES
8188-269288-0055  EIGHT IS THAT YOU SHE CALLED OUT
8188-269288-0053  HE DID NOT MEAN TO CONFINE ANYONE THAT NIGHT AND THE KINDEST THING WAS TO LEAVE HER ALONE
533-131564-0007  NEVER MIND MY PLAIN SPEAKING SAID I IT IS FROM THE VEST OF MOTIVES
8461-281231-0026  HERE IS A BUGLE WHICH AN ENGLISH YOUNG MAN HAS ONCE WORN I PRAY YOU TO KEEP IT AS A MEMORIAL OF YOUR GALLANT BEARING
3080-5040-0015  DOES YOU FIND FAULT WITH MY OTHER LETTERS THIS IS LIKE TO BE SHORTER THAN THEY I DID NOT INTEND IT SO THOUGH I CAN ASSURE YOU
7975-280076-0028  WAS IMMEDIATELY FOLLOWING THE ROCK ISLAND ROBBERY AT EIGHTEUR IOWA THAT THE WORTH APPEARED A DELIVERED IN LISTMENT OF SOME LOCAL PAPERS OF MISSOURI TO CONNECT THOSE WITH THIS ROBBERY
4852-28311-0005  MIKE BECAME UNEASY AND FISHED AND MORASTIC BAND OUT OF HIS POCKET MADE A FRONT OF PAPER AND SENT IT SOARING OUT IN AM STREET
6432-63723-0029  I WAS SAID OF LARGE THAT SOON AFTER THE ECHOES OF THE WEDDING CHIMES HAD DIED AWAY HE HAD BEGUN TO TREAT HIS WIFE FOR THE REFINED CRUELTY AT HIDDEN AWAY FROM THE PUBLIC UNDERNEATH HIS HABITUAL MANNER THERE WAS THE RAWNESS OF THE BRUTE
8188-269290-0012  TOOK IT OUT SAID BUSILY TOOK IT OUT
8131-117029-0008  REACHED AUTOMATICALLY FOR THE CLASS OF ETHER NEEDLE BEER
8461-278226-0008  PHILIP JOSCELYN WAS EXAMINING SOME PICTURES ON THE OTHER SIDE OF THE ROOM WHEN HE'S LIFE MADE THE DISCOVERY
5764-299665-0049  BUT THEY HAVE BEEN WORSE AND THEY HAD ANY OTHER RELIGION THAN CHRISTIANITY
8461-281231-0029  WITH THIS EPISTLE AND HAPPY OLD MAN TO PROCURE HIS THOUGHT AS LIBERATION
3538-163624-0020  NOW MUST SHE SLEEP TILL THOU COMES FOR HER WAKING RISE UP AND RIDE FOR NOW SURE SHE WILL SWEAR THE VOW FEARLESS OF BREAKING
2414-128292-0029  NOW MUST SHE SLEEP TILL THOU COMES FOR HER WAKING RISE UP AND RIDE FOR NOW SURE SHE WILL SWEAR THE VOW FEARLESS OF BREAKING
1998-29455-0022  THAT NEITHER OF THEM KNEW ANY BETTER
4852-28312-0002  WHAT WITH THE ONE WINDOW AND THE LOWERING DAY OUTSIDE A LONG NARROW SHOT WAS SOMBRE
3528-168669-0125  GIVEN TO THE EARTH EMPTY
6432-63723-0016  OH BUT HE WILL OR ELSE SOON AND GOOD JUDGMENT OH HE'LL PAY ALL RIGHT
3997-180297-0010  FOR A MOMENT THAT I MIGHT GIVE MYSELF THAT HAPPINESS YOU WOULD NOT HAVE IT YOU INSISTED ON THE MEANS
3764-168671-0043  OF ONE THOUGHT I AM LOST
367-130732-0030  TAKE OUT THE CLOTHISH AND STRAIN THE BROTH THROUGH A NAPKIN BY PRESSURE INTO A BASIN ALL THE ESSENCE FROM THE VEGETABLES
1688-142285-0077  SHE WAS LATE FOR TEA AT HOME
367-293981-0013  DONKEY HURRICK AND SAID AND HE TAKING IT WITH BOTH HANDS IN GOOD PAIN AND WITH A BETTER WILL HELPED IT DOWN AND JANE A VERY LITTLE LESS IN HIS MASTER
8461-258277-0002  NOW GOT REPLIED COME ALL TORT AZARA TO SAY ME IS ALIO KHARA WITH YE
2033-164914-0009  WILL RECITE THE FIRST TIME HATH RECITED THE SECOND TIME AND I HEARD HIM HARD BY
7105-2330-0002  A CHERRY GOOD NAT POSSIBLY FINE THAT THE PRISONER HAD NOT DELIBERATELY AN INTENTION BLOWN UP THE ALBERT HALL NO QUESTION WAS COULD THEY FIND ANY EXTENUATING CIRCUMSTANCES WHICH WOULD PERMIT OF AN ACQUAINTAL
5764-299665-0067  YOU MUST HAVE CALLED THE STONES
7018-75789-0022  I'LL TELL YOU THE STORY OF MY SEVENTH AND LAST VOYAGE WHICH IS STILL MORE WONDROUS AND MARVELLOUS THAN THAT OF THE FIRST SIX
2414-159411-0015  I'LL TELL YOU THE STORY OF MY SEVENTH AND LAST VOYAGE WHICH IS STILL MORE WONDROUS AND MARVELLOUS THAN THAT OF THE FIRST SIX
8188-274364-0011 TEEN HAVING TRIED THE AFFECTIONS OF YOUR PEOPLE YOU ABSORBED AND LOOSE FROM ALL THE GOVERNMENT AND MAY DO WHAT POWER WILL ADMIT
1688-142285-0010  HIS FATHER SPECULATED WILDLY FAILED AND THEN KILLED HIMSELF BECAUSE HE COULD NOT BEAR THE DISGRACE
2609-156975-0016  GUISM MOSES JUST FUN AND RESIST IN THE EGYPTIAN TOW'S MASTER
5484-24318-0020  I LOVE YOU AND HAVE LOVED YOU ALWAYS
3331-159605-0046  I AM AUGHT YOU KNOW AND PREFERRED TO BE AN INDEPENDENT SPINSTER AND TEACH MUSIC ALL MY DAYS
3331-159609-0015  I HOPE MARIA BAILEY IS ONLY THINK SIR SHE ADDED SOFTLY I COULD NOT BEAR TO HAVE BEEN DISAPPOINTED AGAIN
1998-29454-0041  IF YOU CLEAN THEY SAY HONEST POVERTY AND IF YOU DIRTY THEY SAY SERVE YOU RIGHT
3538-163622-0008  THE YOUTH LIKED THE THOUGHT OF THIS LET THE HOLES RUBBER THEY CHOSE AND SEATED HIMSELF IN THE CLOCK OF THE ROCK BY THE SIDE OF THE OLD HAG
7975-280085-0009  WE WERE INSIDE OF OUR LONG SAW HORSES WHEN THEY COULD USA FROM THE ANIMALS AND OUR LAST HOPE WAS GONE
2414-159411-0013  WE WERE INSIDE OF OUR LONG SAW HORSES WHEN THEY COULD USA FROM THE ANIMALS AND OUR LAST HOPE WAS GONE
8131-117016-0054  WHO'S GETTING EVEN FATTER NOW THAT HE WAS EATING BETTER FOOD FROM THE FAIR RESTAURANT AROUND THE CORNER
1688-142285-0072  MARGARET HELD HER IN HER ARMS AND PUT THE WEARY HEAD TO REST UPON HER BOSOM
2609-156975-0017  THIS PINION ALWAYS DISASTRATES NOT OWING TO ITS VICTIMS ARE ALSO TO THE GOVERNMENT IMPOSING IT
7902-96592-0036  YOU ONLY A SHAM
7975-280085-0012 PLE THE HORSES I SAID EVERY MAN FOR HIMSELF
7902-96594-0026  SHARP LOOKOUT ON THE CLIFF DECEITORY STROKE HIS MAKING SIGNALS FOR A BOAT
8280-266249-0040  OH ASKED THE MATE I'VE SEEN IGN UP HERE THAT THERE ARE SOME IN STEERAGE
3005-163391-0022  NOW HUSTLE BACK RIGHT OFF AND FETCH THE DUKE UP HERE AND THE NEW CARPET BAGS
8188-269288-0016  EYES SHONE WITH PLEASURE AT THE ANTICIPATION OF THE DELIGHTFUL TYPE SHE WOULD HAVE RIVELING IN THE HOME NEWS THE OTHER LETTER WAS DIRECTED TO ANY COLCHESTER
5484-24317-0003  SO THE ARTIST FOUND HIMSELF OBLIGED TO RELINQUISH HIS OPPOSITION
3080-5040-0017  I'M CALLED UPON
6070-86745-0015  THE PAPERS
1998-29455-0021  PLEASED THEM AT BETOO SHARKED
5442-41169-0030  THERE'S THE PEASANTS DO I WONDER AT THEM SOMETIMES ANY GOOD PEASANT TRIES TO TAKE ALL THE LAND HE CAN
3538-163619-0004  WHEN THE KING ENTERED AND SAW HE STOOD STILL AS IF HE WERE IN FETTERS AND COULD NOT STIR FROM THE SPOT WITH A PICTURE SEEMED TO HIM SO BEAUTIFUL
6432-63722-0004  AND HAVING PUT HIMSELF ON A FAIR WAY AS HE HOPED TO SOLVE SOME OF THE PROBLEMS CONNECTED WITH THE DARCY CASE COLONEL HASH WENT DOWN TO POLICE HEAD BORDERS TO LEARN MORE FACTS IN THE CONNECTION WITH THE MURDER OF THE EAST INDIAN
4198-12281-0003  BY THE VIRGIL OF GOD WHY DO NOT YOU SING TEN YEARS FAREWELL VINTAGE IS NOT
3538-142836-0016  THAT THEY MAY KEEP IT AS NECESSARY NOT TO BE SPARING OF SUGAR FIFTEEN O THREE
6938-70848-0021  FOLLOWED HIM LENIN LISTENED TO NOVET ABSORBING INTENSITY
367-293981-0018  THE CLAWS OF THE POOR BLANKETED WRETCH WERE SO LOUD THAT THEY REACHED THE EARS OF HIS MASTER WHO HALTING TO LISTENTIVELY WAS PERSUADED THAT SOME NEW AVENGER WAS COMING UNTIL HE CLEARLY PERCEIVED THAT IT WAS THE SQUIRE WHO UTTERED THEM
5764-299665-0074  IT FOLLOWED THAT THERE COULD NOT HAVE BEEN ANY INTELLIGENCE ANY DESIGN BACK WITH MOTHER AND FORTH
8461-258277-0001  TAN SAID NEEDS MY STYLV ZAY NOVELS SAY NOW SUCH A LAY THERE CAME A RAP AT THE DOOR AND THE MAID SAID WHO IS AT THE DOOR
3538-163624-0010  SO CIGARET SAID THAT SWORD WOULD DO
