7021-85628-0026  NO LITTLE FUN SHE SAID
8555-284447-0015  LOOKING FOR ONE DOUBTFUL AND THEY NEARLY THE SAME SIZED ABOVE ON HIS HIND LEG BOTH GOT THE SAME STYLE OF WHISKERS AND THEY'RE BOTH OF THEM OBSTINATE AND DANGEROUS SO THEY OUGHT TO MAKE A GOOD PATCH SPLENDID
1284-1181-0017  THE WIZARD OF OZ WHO USED TO BE A HUMBUG AND KNEW NO MAGIC AT ALL HAS BEEN TAKING LESSONS OF GLINDA AND UNTOLD HE IS GETTING TO BE A PRETTY GOOD WIZARD BUT HE'S NEARLY THE ASSISTANT OF THE GREAT SORCERESS
237-134500-0034  THANK YOU HE RETURNED SHORTLY
7127-75946-0017  THE BEST SHAPED AT COURT WERE DISPLAYED TO GREAT ADVANTAGE AND FLESH COLORED SILKEN HOSE A SILK SO FINE AND SO TRANSPARENT THAT IT SEEMED ALMOST LIKE FLUSH ITSELF
237-134500-0002  A BRACE WIND HAD COME UP AND WAS DRIVING PUFFY WHITE CLOUDS ACROSS THE SKY
5105-28233-0010  I LIKE HIS MASTER HE MADE NO PRETENSION TO ANY GIFT OF POETIC POWER BUT HIS INEXHAUSTIBLE MEMORY MADE HIM A LIVING ENCYCLOPAEDIA AND FOR HIS TALK OF ANECDOTES AND TROOPERS TALES HE WAS MATCHLESS
7127-75947-0004  BLAME YOURSELF
8463-294825-0008  THE VEGET THE NOVEL'S BURNING POWER COMES FROM CAPTAIN NEMO
4970-29095-0028  DOESN'T SAY IT'S ON THE FRONTIER AND ON THE MAP EVERYTHING BEYOND IS MARKED INDIANS AND DESERT AND LOOKS AS DESOLATE AS A WEDSAY MEETING IT WAS TIME FOR HIM TO DO SOMETHING
8455-210777-0041  THERE CAME UPON ME A SUDDEN SHOCK WHEN I HEARD THESE WORDS WHICH EXCEEDED ANYTHING WHICH I HAVE YET FELT
260-123440-0019  CRIED ALICE AGAIN FOR THIS TIME THE MOUSE WAS WRISTLING ALL OVER AND SHE FELT CERTAIN IT MUST BE REALLY OFFENDED
6829-68769-0001  IT WAS A SERIOUS CRIME INDEED MISTER WATSON TOLD THEM AND TOM GATES BADE FAIR TO SERVE A LANGLEY TERM IN THE STATE'S PRISON AS A CONSEQUENCE OF HIS RASH ACT
1221-135767-0009  BUT PARL WHO WAS A DAUNTLESS CHILD AFTER FROWNING STAMPING HER FOOT AND SHAKING HER LITTLE HAND WITH A VARIETY OF THREATENING GESTURES SUDDENLY MADE A RUSH AT THE NOD OF HER ENEMIES AND PUT THEM ALL TO FLIGHT
121-121726-0005  EDGE OFFENCE
237-134493-0011  HOW BROWN YOU'VE GOT SINCE YOU CAME HOME I WISH I HAD AN AVALE TO KNOW MY ORCHARD
1320-122617-0003  THERE WAS SOMETHING IN HIS AIR AND A MANNER THAT BETRAYED TO THE SCOUT THE UTTER CONFUSION OF A STATE OF HIS MIND
5639-40744-0012  HE SUCCEEDED IN OPENING THE WINDOW AND THE MOONLIGHT SHONE IN SO BRIGHTLY THAT SHE COULD DISTINGUISH THE COLOR OF SOME DAMASK HANGING IN THE ROOM
672-122797-0036  HOW BADE DON'T BEFELL DOWNSTAIRS AND YET YOU MARRIED THE PRINCESS
4446-2271-0015  LITTLE ATTACK OF NERVES POSSIBLY
1320-122617-0015  BUT THE BEAR INSTEAD OF OBEYING MAINTAIN A SEAT HAD TAKEN AND GROWLED
61-70970-0039  HE IMPLORS US TO BE DISCREET AS THE GRAVE IN THIS MATTER FOR IN SOOTH HIS LIFE IS IN THE HOME OF OUR HANDS
5105-28241-0010  WHAT RAINED SUPREME
8555-292519-0007  IS MY HEART HUNG IN THE SKY AND NO CLOUDS EVER FLOAT BETWEEN THE GRAY FLOWERS AND MY HEART ON HIGH
4077-13754-0010  IN EIGHTEEN SIXTY TWO A LAW WAS ENACTED WITH THE PURPOSE OF SUPPRESSING POOR MARRIAGE AND AS HAD BEEN PREDICTED IN THE NATIONAL SENATE PRAYER TO ITS PASSAGE IT LAY FOR MANY YEARS A DEAD LETTER
1580-141083-0009  THEY'LL TURN IT WAS THAT SOME ONE PASSING HAD OBSERVED THE KEY IN THE DOOR HAD KNOWN THAT I WAS OUT AND HAD ENTERED TO LOOK AT THE PAPERS
4446-2275-0007  SHE PUSHED HIM TOWARD THE BIG CHAIR BY THE FIRE AND SAT DOWN ON A STOOL AT THE OPPOSITE SIDE OF THE HEARTH HER KNEES DRAWN UP TO HER CHIN LAUGHING LIKE A HAPPY LITTLE GIRL
8463-294828-0020  YES WE ARE CERTAINLY I REPLIED EVASIVELY BUT AFTER WE MAKE A DETAILER
1320-122612-0003  HE OFTEN STOPPED TO EXAMINE THE TREES NOR DID HE CROSS A RIVULET WITHOUT ATTENTIVELY CONSIDERING THE QUANTITY OF VELOCITY AND THE COLOR OF ITS WATERS
1995-1826-0014  PARDON SHE PAUSED
2961-960-0011  WITH HERACLITUS HE ACKNOWLEDGES THE PERPETUAL FLUX LIKE AN EXAGGARUS HE ASSERTS THE PREDOMINANCE OF MIND ALTHOUGH ADMITTING AN ELEMENT OF NECESSITY WHICH REASON IS INCAPABLE OF SUBDUING BY THE PITHYGHEERY IS HE SUPPOSES THE MYSTERY OF THE WORLD TO BE CONTAINED IN NUMBER
1284-1180-0017  AT ONE END STOOD A GREAT FIREPLACE IN WHICH A BLUE LOG WAS BLAZING WITH A BLUE FLAME AND OVER THE FIRE HUNG FOUR KETTLES IN A ROW ALL BUBBLING AND STEAMING AT A GREAT RATE
3570-5696-0008  IT IS ANOTHER GROUNDS WORTH NOTING THAT THE TIME WASTE IN THE LANGUAGE OF EVERY DAY LIFE IMPLIES DEPRECATION OF WHAT IS CHARACTERIZED HAS WASTEFUL
7729-102255-0004  BRIEF STATE MEN HAVE ONLY THEIR CONVICTIONS THEIR INTELLIGENCE OR COURAGE AND THE MORAL SUPPORT OF THE NORTH THE CONSPIRACY HAD ITS SECRET COMBINATION THE TERRITORIAL OFFICIALS THE LEGISLATURE THE BOGUS LAWS THE COURTS THE MILITIA OFFICERS THE PRESIDENT AND THE ARMY
8463-294828-0013  HE WAS A FANATIC ON FORMALITY AND HE ONLY ADDRESSED ME IN THE THIRD PERSON TO THE POINT WHERE IT GOT HIGHER
1188-133604-0033  IN THE GRASS IS SET FORMALLY ROSE PERFECTLY AND MAY BE REALIZED COMPLETELY
2830-3980-0025  BY HIS RESURRECTION CHRIST WON THE VICTORY OVER LAW SIN FLESH WORLD DEVIL DEATH HELL AND EVERY EVIL
260-123288-0012  WILL BE THE SAFEST NO NO NEVER
237-134500-0006  JUST SMELL THE WILD ROSES THEY ARE ALWAYS SO SPICY AFTER A RAIN
1089-134691-0008  THE UNCOUTH FACES PASSED HIM TOO BY TWO STAINED YELLOW OR RED OR LIVID BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STAIN OF PERSONAL SHAME AND COMMISERATION ROSE TO HIS OWN FACE
3729-6852-0023  REMARK PLEASES HIM BUT I SOON PROVE TO HIM THAT IT IS NOT THE RIGHT WAY TO SPEAK HOWEVER PERFECT MAY HAVE BEEN THE LANGUAGE OF THAT ANCIENT WRITER
4992-41806-0004 N FIRE BURN THICKER FLICKER FLAME
5683-32879-0016  THE WAN ORACLE HAVING SPOKEN SHE SAT DOWN IN THE SAME SORT OF ABSTRACTION AGAIN BESIDE DORCAS AND SHE LOOKED FULL IN HER COUSIN'S EYES
2961-961-0006  WHAT WAS THE SUBJECT OF THE POET SAID THE PERSON WHO MADE THE REMARK
4970-29095-0038  RUTH WAS GLAD TO HEAR THAT PHILIP HAD MADE A PUSHION IN THE WORLD AND SHE WAS SURE THAT HIS TALENT AND COURAGE WOULD MAKE AWAY FOR HIM
