filename,speaker_id,chapter_id,sex,duration_sec,duration_cat
61-70968-0010.flac,61,70968,M,8.295,medium
2094-142345-0016.flac,2094,142345,F,2.26,short
1995-1837-0026.flac,1995,1837,F,8.095,medium
7127-75947-0026.flac,7127,75947,M,6.555,medium
908-157963-0012.flac,908,157963,M,10.09,long
2830-3980-0034.flac,2830,3980,M,2.97,short
4992-23283-0018.flac,4992,23283,F,6.575,medium
5683-32879-0008.flac,5683,32879,F,2.95,short
1580-141083-0015.flac,1580,141083,F,4.985,short
8455-210777-0037.flac,8455,210777,M,4.735,short
5639-40744-0007.flac,5639,40744,M,5.825,medium
3575-170457-0041.flac,3575,170457,F,14.01,long
908-157963-0015.flac,908,157963,M,14.465,long
2094-142345-0006.flac,2094,142345,F,13.82,long
7021-79759-0005.flac,7021,79759,M,13.02,long
8463-294828-0024.flac,8463,294828,F,1.975,short
3575-170457-0017.flac,3575,170457,F,12.73,long
1580-141084-0008.flac,1580,141084,F,6.795,medium
4992-41797-0022.flac,4992,41797,F,6.45,medium
1580-141083-0029.flac,1580,141083,F,10.055,long
4507-16021-0044.flac,4507,16021,F,2.19,short
6930-76324-0027.flac,6930,76324,M,8.27,medium
2830-3980-0006.flac,2830,3980,M,6.41,medium
672-122797-0032.flac,672,122797,M,4.0,short
61-70968-0039.flac,61,70968,M,3.805,short
5683-32866-0017.flac,5683,32866,F,4.585,short
4970-29095-0016.flac,4970,29095,F,6.945,medium
8224-274381-0010.flac,8224,274381,M,13.62,long
5142-33396-0031.flac,5142,33396,F,7.845,medium
1580-141083-0047.flac,1580,141083,F,2.605,short
5105-28241-0018.flac,5105,28241,M,12.83,long
7127-75946-0012.flac,7127,75946,M,9.87,medium
260-123286-0016.flac,260,123286,M,7.0,medium
2300-131720-0007.flac,2300,131720,M,13.445,long
1995-1837-0025.flac,1995,1837,F,9.5050625,medium
2094-142345-0053.flac,2094,142345,F,3.395,short
5142-36600-0000.flac,5142,36600,F,2.525,short
1221-135767-0024.flac,1221,135767,F,5.85,medium
5142-33396-0048.flac,5142,33396,F,3.96,short
4446-2275-0031.flac,4446,2275,F,3.055,short
121-127105-0002.flac,121,127105,F,7.495,medium
7176-92135-0003.flac,7176,92135,M,3.955,short
1089-134691-0003.flac,1089,134691,M,2.175,short
5142-33396-0067.flac,5142,33396,F,5.565,medium
3575-170457-0054.flac,3575,170457,F,8.005,medium
6829-68771-0030.flac,6829,68771,F,6.225,medium
908-157963-0018.flac,908,157963,M,4.255,short
2300-131720-0028.flac,2300,131720,M,25.94,long
6829-68769-0015.flac,6829,68769,F,6.525,medium
3729-6852-0034.flac,3729,6852,F,18.895,long
61-70968-0040.flac,61,70968,M,3.95,short
2094-142345-0031.flac,2094,142345,F,2.78,short
8555-284447-0007.flac,8555,284447,F,6.365,medium
4446-2275-0043.flac,4446,2275,F,5.88,medium
908-157963-0027.flac,908,157963,M,5.225,medium
4077-13754-0009.flac,4077,13754,M,7.65,medium
1284-1181-0008.flac,1284,1181,F,6.08,medium
4992-23283-0014.flac,4992,23283,F,4.535,short
4446-2275-0010.flac,4446,2275,F,3.735,short
1320-122612-0011.flac,1320,122612,M,13.695,long
4992-41797-0019.flac,4992,41797,F,4.755,short
6829-68769-0041.flac,6829,68769,F,2.66,short
1320-122617-0032.flac,1320,122617,M,11.28,long
5105-28233-0003.flac,5105,28233,M,14.81,long
5683-32879-0010.flac,5683,32879,F,7.75,medium
61-70970-0027.flac,61,70970,M,5.08,medium
1284-1180-0010.flac,1284,1180,F,8.635,medium
4507-16021-0043.flac,4507,16021,F,3.99,short
2094-142345-0048.flac,2094,142345,F,6.39,medium
908-31957-0019.flac,908,31957,M,9.54,medium
260-123288-0019.flac,260,123288,M,2.955,short
1221-135767-0008.flac,1221,135767,F,3.095,short
2830-3980-0053.flac,2830,3980,M,5.015,medium
7176-88083-0000.flac,7176,88083,M,5.695,medium
8224-274384-0006.flac,8224,274384,M,6.81,medium
7176-88083-0027.flac,7176,88083,M,2.13,short
8455-210777-0005.flac,8455,210777,M,5.685,medium
6829-68771-0029.flac,6829,68771,F,8.945,medium
6829-68769-0006.flac,6829,68769,F,7.195,medium
1089-134691-0005.flac,1089,134691,M,5.36,medium
5142-36377-0005.flac,5142,36377,F,7.085,medium
4992-23283-0019.flac,4992,23283,F,6.585,medium
2094-142345-0035.flac,2094,142345,F,3.575,short
4446-2271-0008.flac,4446,2271,F,5.495,medium
4992-23283-0000.flac,4992,23283,F,6.645,medium
