7021-85628-0026  NO MY LITTLE FUN SHE SAID
8555-284447-0015  YOU KNOW SUGGESTED THE CAPTAIN OF THE GIRLS LOOKING FROM ONE TO THE OTHER DOUBTFULLY AND I NEARLY THE SAME SIZED ABOVE ON HIS HIGH LEGS THEY BOTH GOT THE SAME STYLE OF WHISKERS AND THEY'RE BOTH OF THEM OBSTINATE AND DANGEROUS SO THEY OUGHT TO MAKE A GOOD PATCH SPLENDID
1284-1181-0017  THE WIZARD OF OZ WHO USED TO BE A HUBBUG AND KNEW NO MAGIC AT ALL HAS BEEN TAKING LESSONS OF GLINDA AND I'M TOLD HE IS GETTING TO BE A PRETTY GOOD WIZARD BUT HE IS NEARLY THE ASSISTANCE OF THE GREAT SORCERESS
237-134500-0034  THANK YOU HE RETURNED SHORTLY
7127-75946-0017  HIS LEGS THE BEST SHAPED AT COURT WERE DISPLAYED TO GREAT ADVANTAGE AND FLESH COLOURED SILKEN HOSE A SILK SO FINE AND SO TRANSPARENT THAT IT SEEMED ALMOST LIKE FLUSH ITSELF
237-134500-0002  A BRACE GWIN HAD COME UP AND WAS DRIVING PUFFY WHITE CLOUDS ACROSS THE SKY
5105-28233-0010  I LIKE HIS MASTER HE MADE NO PRETENSION TO ANY GIFT OF POETIC POWER BUT HIS INEXHAUSTIBLE MEMORY MADE HIM A LIVING ENCYCLOPAEDIA AND FOR HIS STOCK OF ANECDOTES AND TROOPER'S TALES HE WAS MATCHLESS
7127-75947-0004  BLAME YOURSELF
8463-294825-0008  BUT MUCH OF THE NOVELS BROODING POWER COMES FROM CAPTAIN NEMO
4970-29095-0028  HE DOESN'T SAY IT'S ON THE FRONTIER AND ON THE MAP EVERYTHING BEYOND IS MARKED INDIANS AND DESERT AND LOOKS AS DESOLATE AS A ONE SANE MEETING IT WAS TIME FOR HIM TO DO SOMETHING
8455-210777-0041  THERE CAME UPON ME A SUDDEN SHOCK WHEN I HEARD THESE WORDS WHICH EXCEEDED ANYTHING WHICH I HAD YET FELT
260-123440-0019  CRIED ALICE AGAIN FOR THIS TIME THE MOUSE WAS BRISTLING ALL OVER AND SHE FELT CERTAIN IT MUST BE REALLY OFFENDED
6829-68769-0001  IT WAS A SERIOUS CRIME INDEED MISTER WATSON TOLD THEM AND TOM GATES BADE FAIR TO SERVE A LANGLEY TERM IN THE STATES PRISON AS A CONSEQUENCE OF HIS RASH ACT
1221-135767-0009  WAS A DAUNTLESS CHILD AFTER FROWNING STAMPING HER FOOT AND SHAKING HER LITTLE HAND WITH A VARIETY OF THREATENING GESTURES SUDDENLY MADE A RUSH AT THE KNOT OF HER ENEMIES AND PUT THEM ALL TO FLIGHT
121-121726-0005  OFFENCE
237-134493-0011  HOW PROUD YOU'VE GOT SINCE YOU CAME HOME I WISH I HAD AN ATHLETE TO KNOW MY ORCHARD
1320-122617-0003  THERE WAS SOMETHING IN HIS AIR AND MANNER THAT BETRAYED TO THE SCOUT THE UTTER CONFUSION OF THE STATE OF HIS MIND
5639-40744-0012  HE SUCCEEDED IN OPENING THE WINDOW ON THE MOONLIGHT SHONE IN SO BRIGHTLY THAT SHE COULD DISTINGUISH THE COLOUR OF SOME DAMASK HANGING IN THE ROOM
672-122797-0036  HOW BADE DON'T BE FELL DOWNSTAIRS AND YET HE MARRIED THE PRINCESS
4446-2271-0015  LITTLE ATTACK OF NERVES POSSIBLY
1320-122617-0015  BUT THE BEAR INSTEAD OF OBEYING MAINTAIN OF THE SEATED HAD TAKEN AND GROWLED
