filename,client_id,sentence,age,gender,locale,duration_sec,duration_cat
common_voice_en_17873663.mp3,418763f1d2971907b3bd0e8ef3950483d07ed568356125eade2afcd47378cd7e97416a04b9974a9c704658bc44f54c15af8f15e20a99f7d5045d5782bf196411,At a round table there's no dispute about the place.,fourties,male_masculine,en,6.168,medium
common_voice_en_522009.mp3,e742294f454a4952011a8071939aea383be14d44a000ee1a89ff51413caddbd27c4ac592d1b7b713f7381092b0f61a3afaf02e19745a346fdfaa9550769386be,And you know it.,thirties,male_masculine,en,3.024,short
common_voice_en_31713332.mp3,c0d8ade13d2eb4fc68e3cf75fbf8ca83753734d20dd5e6b817aff756394b8bd2827392e67b0958e19562c9cc92bb595f1bb45a3d5eab410087cf0d5b4e9f5dcd,Rosa Mayreder wrote her obituary which concluded,twenties,male_masculine,en,7.02,medium
common_voice_en_18577449.mp3,cea19706aa5d20dcdbef0d5ccb6ba0e1380edfe3537c21fad70ae277af14205ca0cb3ae831a4998415a48901a2130b401deb980804b961080d7d828abc598243,He took it dully.,twenties,male_masculine,en,2.736,short
common_voice_en_18661019.mp3,85cbe0c46759cf9c4f1b059da259b2f601786bc58db7a4c556b57f19cdcf6a990fec1e9fa3b3f4d0eb891861bcc456505b2aa28f200a0ae28e062d94aaacfa65,"It draws, says Jo, ""as heavy as a cart.""",thirties,male_masculine,en,6.384,medium
common_voice_en_20895162.mp3,fc3789c6171c32465ff7deb3ee74d027f0f294328d59e465ba214031015a6f7ac2e9a250f3d5a007494461f9f10e062a1914922ea868a642a7da39a9c47f1267,Pressure suits had not been used on Soviet manned spacecraft since the Vostok program.,twenties,male_masculine,en,7.896,medium
common_voice_en_36410779.mp3,771ff751aea9717ddc102f327a847aa306ada367eeb1d4d264b2aa2e05fac4311472dea5da9a2257416cdb780f8ce25d0c9afed615bb1ccd5dfa464d0d100b8e,These materials addressed the problem of violence against women.,teens,male_masculine,en,5.184,medium
common_voice_en_64647.mp3,7ec7952e7b00aa415eed56c97376f2231d9bf0153d856ec295215190b1912ed3a1769fafdf75f1d803008bb3f41343e86e0affebaf646915a43b02cda2378948,The black dog in front of the tree has a green toy in its mouth,fourties,male_masculine,en,9.024,medium
common_voice_en_18969138.mp3,7a03fc332cc58d4734a744e9962e3e3b297f1f3ce6f4da7e1cf40ad6b5020b15d51ec96b53f291049be5d42bc2a3d607bcae5878d6d63029e73e46ba29682f48,Service facilities for trucking and heavy equipment repair are also located in Jamestown.,twenties,male_masculine,en,9.048,medium
common_voice_en_19708705.mp3,48636700359786c36f680071c696fea55c28d610b519ca634a53c76f3837bb86df738826974217b81a73618dfe78580e8750e4c29a232ed8debac87297b2430b,They often graze on water plants in tropical seas.,twenties,female_feminine,en,5.448,medium
common_voice_en_35400503.mp3,2e97f306f496d7b56a076f68058e345dc7e750a05d3ff10c83bb8c97a08f2b840d4693a962d3a3266b18e20e652e941e8e4e2ba16eb0b37a437f8fe20175797e,Dolly was the first clone produced from a cell taken from an adult mammal.,seventies,female_feminine,en,7.956,medium
common_voice_en_20440160.mp3,5254f75d8ea4b8108cf1dd11206dcfb018f6d03a9c171d82426520f4e7333339ba3e468314006dfa4ba0688f92cf0cc42dfac1802245cedf02ba9cad1c528a9d,The Monklands Sailing Club is based at Hillend Loch by Caldercruix.,twenties,male_masculine,en,6.504,medium
common_voice_en_25423290.mp3,779762f4f0a39cde3fb190c6c8a16e17f92011a17cb0015ed8b0f885b4a2fd0c03137f2e2f7fbb36fd81e60aec3426accdbf466ca041657da61d9ca30239d1bf,"This was part of her inspiration for her ""Cousin Minnie Pearl"" routine.",twenties,male_masculine,en,5.04,medium
