1688-142285-0010  HIS FATHER SPECULATED WILDLY FAILED AND THEN TOLD HIMSELF BECAUSE HE COULD NOT BEAR THE DISGRACE
1688-142285-0020  IMPROVIDENT AND SELF INDULGENT WERE HIS WORDS
1688-142285-0024  PAPA I DO THINK MISTER THORNTON A VERY REMARKABLE MAN BUT PERSONALLY I DON'T LIKE HIM AT ALL
1688-142285-0035  VISITING REGISTER OFFICERS SEEING ALL MANNER OF UNLIKELY PEOPLE AND VERY FEW IN THE LEAST LIKELY ABSORBED MARGARET'S TIME AND THOUGHTS FOR SEVERAL DAYS
1688-142285-0057  MARGARET BENT HER OVER AND SAID BESSY DON'T BE IMPATIENT WITH YOUR LIFE WHATEVER IT IS OR MAY HAVE BEEN
1688-142285-0062  THAT'S WHAT I BELIEVE YOUNG WOMAN
1688-142285-0063  I DON'T BELIEVE ALL I HEAR NO NOT BY BIG DEAL
1688-142285-0072  MARGARET HELD HER IN HER ARMS AND PUT THE WEARY HEAD TO REST UPON HER BOSOM
1688-142285-0077  SHE WAS LATE FOR TEA AT HOME
1688-142285-0091  MY DEAR SAID MISTER HALE ALARMED PRAY DON'T GO OFF ON THAT IDEA
1998-15444-0004  THE GARDEN THE GARNET BEEN CUT ACROSS BETWEEN THESE LIGATURES THE STOMACH MAY BE REMOVED ENTIRE WITHOUT SPINNING AS CONTENTS
1998-15444-0012  THE DUKE SHOULD BE EXAMINED TO SEE THAT IT IS NOT BROKEN OR CRACKED AS ACCIDENTS HAVE HAPPENED FROM NEGLECTING THUS PRECAUTION
1998-15444-0016  FOR THE SEPARATION OF MACALITE THE FOLLOWING IS THE PROCESS OF DARZATO
1998-15444-0020  THE READER MAY BE SAID ASIDE FOR THE DETECTION OF THE METALLIC POISONS HAVE SUSPECTED EXPEL THE ACCOHOVA CAREFUL EVAPORATION
1998-15444-0024  FIVE A PART OF THIS ETHEREAL SOLUTION HAS PUT INTO A WATCH GLASS AND ALLOWED TO EVAPORATE
1998-29454-0002  HIS BOOKS TOLD HIM THE TREASURE'S BEST HIDDEN UNDER THOSE BOARDS AND AS OF COURSE THE HOUSE HAD A SECRET PAN WHICH HIS HAD NOT
1998-29454-0008  WHEN HE SAID HAVE I BEEN ASLEEP
1998-29454-0025  A BIRD PASSED IN ITS FLIGHT ON A BRANCH BY CLOSE AND CLUNG THEIR SWAIN
1998-29454-0032  I SEE THAT THEN A BOOK SAID TICKETCHARMED
1998-29454-0033  HE REWARD THE WAKE THE LAST OF THE ENGLISH AND I WONDERED WHAT HAD SO FOR
1998-29454-0041  IF YOU ARE CLEAN THEY SAY HONEST POVERTY AND IF YOU'RE DIRTY THEY SAY SERVE YOU RIGHT
1998-29454-0043  I KNOW YOU WILL SAID DICKIE WITH ENTHUSIASM I KNOW HOW GOOD YOU ARE
1998-29454-0046  WELL YOU KNOW ALL ABOUT IT PRESENTLY
1998-29455-0010  THIS LIFE OF THE RABBIT AS DESCRIBED BY MISTER BEALE WAS THE CHILD'S FIRST GLIMPSE OF FREEDOM I'D LIKE TO BE A RABBIT
1998-29455-0013  AS ALL RIGHT SAID MISTER BEAU QUICKLY
1998-29455-0021  PLEASE DON'T BE TOO SHOCKED
1998-29455-0022  REMEMBER THAT NEITHER OF THEM KNEW ANY BETTER
1998-29455-0028  LEST IF I EVER SEE SUCH A NIPPER HE SAID OVER AND OVER AGAIN
2033-164914-0009  HE WILL RECITED THE FIRST TIME HATHRACIE THE SECOND TIME AND I HEARD HIM HARD BY
2033-164914-0010  ALLAH AN THOU FIGHT YOU NOT TO BE I WILL ASSUREDLY ROUSE THE CHAMBERLAIN ON THEE AND YE SHALL BEAT THEE AND CAST THEE ART
2033-164914-0017  AN HY KISSED THE HONORT'S HEAD AND SPAKE HIM FAIR TILL HE WENT AWAY BY THE CASTRATO FETCHED IT AROUND AND RETURN IN SECRETLY CAME AND STOOD BEHIND THE FIREMAN FEARING TO GO BACK TO HIS MISTRESS WITHOUT TIDINGS
2033-164915-0011  AS I FEAR THE CARMINILLS DISCERNING BUT UNTO ALLAH WE ARE ALL RETURNING
2414-128291-0019  THEY ALSO OBTAINED FROM ALL HEAVY TARDS WHICH HEART
2414-128291-0022  A DOCTOR MINE ANIMALS OF THE HAPPINESS OF ANIMALS
2414-128291-0024  THOU AVIABLE ONE
2414-128292-0008  ALSO WE THINK IT THAT AFTER ALL IT HATH LONG OR LESS THAN MINE
2414-128292-0010  EJECTOR STROVE IMAGE E WHAT DO WIST THOU HEAR
2414-128292-0011  WHY CALLEST THOU THYSELF MY SHADOW
2414-128292-0023  I DON'T LET EVERYWHERE OR I TURN THE WAIT TURTLE IN VAIN
2414-128292-0029  FOR NOW EVID THAT IS NARROW AND FIXED SEDUCED IT INDEMN IT THEE
2414-159411-0002  O FATHER OF MERCY ANSWERED THE TIGER IN TRUTH THAT I WILL NOT
2414-159411-0013  LATE THE TAGGER EAT THE MAN FOR MEN HATH NO PITY
2414-159411-0015  WHAT MUST I GIVE YOU JUDGMENT ASKED THE EGA
2414-159411-0033  WHEN A GOOD RAMID OPEN YOU CAME TO HER IS TO EAT HIM THE ONLY RETURN YOU WOULD MAKE
2609-156975-0016  MOVES IT'S JUST FIND AND RESIST IN THE EGYPTIAN TOUCH MASTER
2609-156975-0017  HIS PINION ALWAYS DESERTIONS ARE OWING TO ITS VICTIMS ARE ALSO TO THE GOVERNMENT IMPOSING IT
2609-156975-0038  THE CONSTANT NECESSITY A MEETING THE DANGERS OF THE WILDNESS AND THE DEFENDING THE FARMS AND TRACED INTO MOUS'S CARE DEVOUT HIS COURAGE AND POWER OF LEGIS AND ACTION
2609-169640-0002  FORTUNATELY THE JOHN WAS NOT ONLY FAT BUT SHE MINDED HER HAIL AS THE LIGHTFOOTED GIRL TURNED IN A LIVELY DANCE
2609-169640-0007  HE WAS SIMMERED OF THE SEAMAN TO REQUIRE A SECOND LOOK IN ORDER TO ASCERTAIN A WAS TO BE DONE
2609-169640-0010  AS SOON SAW BOTH PROMPTS IN GLAD ENOUGH WAS I TO PROCEED THAT THEY HAD NOT APPROACHED MATERIALLY NEAR
3005-163389-0001  PSALM SONG OUT TEAR DOWN THE FENCE TEAR DOWN THE FENCE
3005-163390-0018  WELL ENTERING HE TAKES A NOTION HE WANTS TO GET UP SOME TROUBLE WITH THIS COUNTRY
3005-163391-0018  I AM TO FEED HIM ACQUIRE ABOUT EVERYBODY AND EVERYTHING AND APPLASS OF TOWN AND ALL ABOUT THE WILTZ AND ABOUT PETER'S BUSINESS WHICH WAS A TAYER AND ABOUT GEORGE'S WHICH WAS A CARPENTER AND ABOUT HARVEST WHICH WAS A DISSENTERING MINISTER AND SO ON AND SO ON THEN HE SAYS
3005-163391-0022  NOW HURSTELBACK RIGHT OFF AND FETCH THE DUKE UP HERE AND THE NEW CARPET BAG
3005-163391-0025  THEY GAVE A GLANCE AT ONE ANOTHER AND NODDED THEIR HEADS AS MUCH AS TO SAY WOULD I TELL YOU
3005-163399-0012  I HAD MY MIND ON THE CHILDREN ALL THE TIME I WANTED TO GET THEM OUT TO ONE SIDE AND PUMP THEM A LITTLE I FOUND OUT WHO I WAS
3005-163399-0013  BERNISO SHE MADE THE COLD CHILL STREAK ALL DOWN MY BACK BECAUSE SHE SAYS
3005-163399-0016  I OPEN MY MOUTH TO BEGIN BUT SHE GRABBED ME AND HUSTLED ME IN BEHIND THE BED AND SAYS HERE IT COMES
3080-5032-0001  I KNEW YOU COULD NOT CHOOSE BUT LIKE HER BUT YET LET ME TELL YOU YOU HAVE SEEN THAT THE WORST OF HER
3080-5032-0005  IN ELLACE WE HAVE HAD SUCH A SKIRMISH AND A PUNCE OF FOOLISH AN OCCASION AS I CANNOT TELL WHICH A STRANGER IS
