1688-142285-0010  HIS FATHER SPECULATED WILDLY FAILED AND THEN KILLED HIMSELF BECAUSE HE COULD NOT BEAR THE DISGRACE
1688-142285-0020  IMPROVIDENT AND SELF INDULGENT WERE HIS WORDS
1688-142285-0024  PAPA I DO THINK MISTER THORNTON A VERY REMARKABLE MAN BUT PERSONALLY I DON'T LIKE HIM AT ALL
1688-142285-0035  IS IT IN REGISTER OFFICERS SEEING ALL MANNER OF UNLIKELY PEOPLE AND VERY FEW IN THE LEAST LIKELY ABSORBED MARGARET'S TIME AND THOUGHTS FOR SEVERAL DAYS
1688-142285-0057  MARGARET BENT OVER AND SAID BESSY DON'T BE IMPATIENT WITH YOUR LIFE WHATEVER IT IS OR MAY HAVE BEEN
1688-142285-0062  THAT WHERE I BELIEVE YOUNG WOMAN
1688-142285-0063  I DON'T BELIEVE ALL I HEAR NO NOT BY BIG DEAL
1688-142285-0072  MARGARET HELD HER IN HER ARMS AND PUT THE WEARY HEAD TO REST UPON HER BOSOM
1688-142285-0077  SHE WAS LATE FOR TEA AT HOME
1688-142285-0091  MY DEAR SAID MISTER HOLE ALARMED PRAY DON'T GO OFF ON THAT IDEA
1998-15444-0004  THE GARDEN VALLE HAD BEEN CUT ACROSS BETWEEN THESE LIGATURES THE STOMACH MAY BE REMOVED ENTIRE WITHOUT SPINNING AS CONTENTS
1998-15444-0012  THE TUBE SHOULD BE EXAMINED TO SEE THAT IT IS NOT BROKEN OR CRACKED AS ACCIDENTS HAVE HAPPENED FROM NEGLECTING THIS PRECAUTION
1998-15444-0016  BY THE SEPARATION OF NAKOLAIT THE FOLLOWING AS THE PROCESS OF SHAH OTTO
1998-15444-0020  THE WHETHER TO YOU MAY SET ASIDE FOR THE DETECTION OF THEM METALLIC POISONS OF SUSPECTED EXPEL THE ACCOHOL BAREFOL EVAPORATION
1998-15444-0024  FIVE A PART OF THIS ETHEREAL SOLUTION HAS PUT INTO A WASH CLASS AND ALLOWED HER EVAPORATE
1998-29454-0002  THIS BOOKS TOLD HIM THE TREASURES BEST HIDDEN ON UDOO'S BOARDS AND AS OF COURSE THE HOUSE HAS SECRET PENNON WHICH HAS HAD NOT
1998-29454-0008  WE SAID IF I'VE BEEN SLEEP
1998-29454-0025  A BIRD CAUSED IN ITS FLIGHT IN A BRANCH QUITE CLOSE AND CLUNG THEIR SWAIN
1998-29454-0032  I SEE THAT IN A BOOK SAID DICKY CHARMED
1998-29454-0033  HE REVOID THE WAKE LAST OF THE ENGLISH AND I WANTED WHAT IT SURPED FOR
1998-29454-0041  IF YOU CLEAN THEY SAY OUR NEIGHBETTY AND IF YOU'RE DIRTY THEY SAY SERVE YOU RIGHT
1998-29454-0043  I KNOW YOU WILL SAID THE KEY WITH ENTHUSIASM I KNOW HOW GOOD YOU ARE
1998-29454-0046  WELL YOU KNOW ALL ABOUT IT PRESENTLY
1998-29455-0010  THIS LIFE OF THE RABBIT HAS DESCRIBED AS MISTER BEALE WAS THE TRANSFERS LIMPSE OF FREEDOM I LIKE TO BE A RABBIT
1998-29455-0013  THAT'S ALL RIGHT SAID MISTER VIEW UPWARDLY
1998-29455-0021  PLEASE DO NOT BE TOO SHARP
1998-29455-0022  REMEMBER THAT NEITHER OF THEM KNEW ANY BETTER
1998-29455-0028  BEST OF EVER SEE SUCH A NIPPER HE SAID OVER AND OVER AGAIN
2033-164914-0009  EQUAL RECITED THE FIRST TIME HATHROCIED THE SACOND TIME AND I HEARD HIM HARD BY
2033-164914-0010  AND THOU FETCH HIM NOT TO BE I WILL ASSUREDLY ROUSE THE CHAMBERLAIN ON DEEP AND YE SHALL BEAT THEE AND CAST THEE ART
2033-164914-0017  I KISSED THE HONOR'S HEAD AND SPAKE HIM FAIR TILL HE WENT AWAY BY THE CASTRATO FETCHED IT AROUND AND RETURNED IN SECRETLY CAME AND STOOD BEHIND THE FIREMAN FEARING TO GO BACK TO HIS MISTRESS WITHOUT TIDINGS
2033-164915-0011  AS I FEARED THE CALMINALS DISCERNING BUT UNTO ALLAH WE ARE ALL RETURNING
2414-128291-0019  THEY ALSO EXTIN FROM ALL HEAVY TORCH WHICH INFLICT A HEART
2414-128291-0022  A DOG WHOM I ANNUALS OF THE HAPPINESS OF ANIMALS
2414-128291-0024  THOU AVIABLE ONE
2414-128292-0008  ALSO YOU THINK IT DOES NOT ALL IT HAD LONG OR LESS IN MIND
2414-128292-0010  AS ACTOR STROKE IMAGUE WHAT DOST THOU HEAR
2414-128292-0011  A VERY COLLEASTO THY SOLVES MY SHADOW
2414-128292-0023  OY TURNED THAT EVERYWHERE OR I TURNED THAT NO WAY OR I TOLD THAT IN VAIN
2414-128292-0029  FOR THOU ELSTIE THAT IS NARROW AND FIXED SEDUCE IT AND TEMPT IT THEE
2414-159411-0002  ALL FATHER OF MERCY ANSWERED GUYA IN TRUTH THAT I WILL NOT
2414-159411-0013  LATE THE TIGER EAT THE MAN OF MEN HAVE NO PITY
2414-159411-0015  OF WHAT WAS DEGREE TERMINED ASKED EGO
2414-159411-0033  WHEN A GOOD BRAMID OPEN YOU CHASED TO HER IS TO EAT IN THE ONLY RETURN YOU WILL MAKE
2609-156975-0016  RESMOVES IT JUST FUN AND RESIST IN THE EGYPTIAN TOUCH MASTER
2609-156975-0017  THIS GENIX ALWAYS DISASTERANCE NOT OWING TO ITS VICTIMS ALSO TO THE GOVERNMENT IMPOSING IT
2609-156975-0038  THEY CONSTANT NECESSITY A MEANING THE DANGERS OF THE WORDNESS AND THE DEFENDING THE FARMS AND TRAGEDY MOSES CARE THE VELPED HIS COURAGE AND POWER OF LEGERSHIP AND ACTION
2609-169640-0002  FORTUNATELY THE JOHN WAS NOT ONLY FAT BUT SHE MINDED HER HOME AS A LIFE EARLY GIRL TURNS IN A LIVELY DANCE
2609-169640-0007  HE WAS TRIMMERS OF THE SEAMAN TO REQUIRE A SECOND LOOK IN ORDER TO ASSERT A WHISIBLY DONE
2609-169640-0010  I SAINT ABOVE PRACT IN GRINIP WAS I SHOULD PERCEIVE THAT THEY HAD NOT APPROACHED MATERIALLY NEAR
3005-163389-0001  JOHN SONG OUT TEAR DOWN THE FANS CARED IRON THE FENCE
3005-163390-0018  WELL HENRY HE TAKES A NOTION HE WANTS TO GET UP SOME TROUBLE WITH HIS COUNTRY
3005-163391-0018  WHY INTERFEATED AND ACQUIRE ABOUT EVERYBODY AND EVERYTHING IN THAT BLESSED TOWN AND ALL ABOUT THE WILTZ AND ABOUT PETER'S BUSINESS WHICH WAS A CAN AND ABOUT GEORGE'S WHICH WAS A CARPENTER AND ABOUT HARVEST WHICH WAS A DISSENTERING MINISTER AND SO ON AND SO ON THEN HE SAYS
3005-163391-0022  NOW HURSTABACK RIGHT OFF AND FETCH THE DUKE UP HERE AND THE NEW CARPET BAG
3005-163391-0025  THEY GAVE A GLANCE AT ONE ANOTHER AND NODDED THEIR HEADS AS MUCH AS TO SAY WOULD THAT TELL YOU
3005-163399-0012  I HAD MY MIND ON THE CHILDREN ALL THE TIME I WANTED TO GET THEM OUT TO ONE SIDE AND PUMP THEM A LITTLE IF I FOUND OUT WHO I WAS
3005-163399-0013  PRESUME SHE MADE THE COLD CHILL STREAK ALL DOWN MY BACK BECAUSE SHE SAYS
3005-163399-0016  I OPEN OUR MOUTH TO BEGIN BUT SHE GRABBED ME AND HUSTLED ME IN BEHIND THE BED AND SAYS HERE IT COMES
3080-5032-0001  AND KNEW YOU COULD NOT CHOOSE BED LIKE HER BUT YET LET ME TELL YOU YE HATH SEEN THAT THE WORST OF HER
3080-5032-0005  IN EARNEST WE HAVE HAD SUCH A SCOUND AND PUT SO FOOLISH AN OCCASION AS I CANNOT TELL WHICH IS STRANGERS
